lemma,abs_frequency,ipm
слава,8248,115
карта,8229,114
горячий,8217,114
беда,8213,114
павел,8203,114
приглашать,8200,114
счастливый,8187,114
открываться,8175,114
память,8157,113
попадаться,8144,113
б,8141,113
варя,8140,113
образ,8117,113
лапа,8110,113
куда-то,8105,113
умный,8098,112
борис,8097,112
удовольствие,8092,112
странно,8085,112
каменный,8082,112
зима,8065,112
сунуть,8052,112
уверенный,8050,112
подъезд,8038,112
махнуть,8037,112
завод,8025,111
настя,8010,111
узкий,8003,111
ручка,8001,111
глянуть,7996,111
наблюдать,7986,111
поступать,7974,111
доноситься,7970,111
немец,7967,111
дрожать,7956,111
планета,7953,110
господин,7933,110
василий,7920,110
привозить,7917,110
добираться,7912,110
спрятать,7908,110
единственный,7899,110
забирать,7894,110
резко,7893,110
дышать,7888,110
куртка,7886,110
яркий,7878,109
платье,7852,109
площадка,7847,109
здравствовать,7841,109
возникать,7829,109
крыльцо,7826,109
вздрагивать,7825,109
пожалуй,7815,109
километр,7805,108
опускаться,7798,108
музыка,7778,108
попытаться,7777,108
гриша,7762,108
немедленно,7752,108
круг,7740,108
навстречу,7731,107
король,7730,107
значить,7728,107
буква,7722,107
врать,7708,107
перебивать,7705,107
кошка,7687,107
максим,7681,107
катька,7657,106
шесть,7649,106
колесо,7647,106
пробормотать,7632,106
петровна,7620,106
порог,7620,106
больной,7601,106
сухой,7600,106
тетка,7589,105
объявлять,7583,105
тон,7575,105
компания,7569,105
луч,7565,105
светлый,7554,105
спокойный,7547,105
успокаиваться,7525,105
слегка,7521,104
выпускать,7514,104
особый,7508,104
решительно,7505,104
боль,7502,104
смысл,7495,104
рассматривать,7492,104
везти,7489,104
прошлый,7480,104
толик,7476,104
захотеть,7466,104
выбираться,7465,104
никита,7456,104
короче,7427,103
отношение,7427,103
эх,7412,103
дочь,7411,103
погибать,7395,103
ряд,7395,103
вырастать,7391,103
удивление,7382,103
глубокий,7377,102
милый,7372,102
учить,7368,102
сбегать,7365,102
глубина,7357,102
мол,7349,102
по-моему,7344,102
бровь,7331,102
прекрасный,7325,102
сказка,7325,102
крыло,7320,102
шурка,7314,102
спешить,7314,102
парта,7309,102
мера,7302,101
решаться,7301,101
облако,7299,101
валя,7291,101
больно,7288,101
форма,7286,101
обнаруживать,7285,101
совет,7283,101
усаживаться,7268,101
торопиться,7261,101
славка,7257,101
превращаться,7255,101
мастер,7245,101
уставать,7234,100
зина,7232,100
дым,7229,100
сапог,7210,100
ученый,7208,100
морской,7198,100
съедать,7189,100
разрешать,7180,100
шкаф,7174,100
миг,7172,100
соседний,7168,100
записывать,7156,99
носить,7145,99
вадик,7142,99
одежда,7142,99
немой,7140,99
прислушиваться,7134,99
судьба,7127,99
острый,7125,99
гулять,7119,99
полезть,7118,99
спорить,7103,99
выдавать,7098,99
мягкий,7095,99
провожать,7082,98
потолок,7082,98
свободный,7069,98
ох,7068,98
рукав,7063,98
радостно,7059,98
тянуть,7056,98
николаевич,7052,98
костюм,7023,98
случайно,7016,97
велеть,7014,97
лезть,6990,97
набирать,6985,97
действовать,6983,97
любимый,6978,97
муж,6975,97
фотография,6963,97
злой,6959,97
оружие,6959,97
многий,6937,96
сверху,6936,96
тридцать,6930,96
касаться,6929,96
свежий,6926,96
заходить,6925,96
известный,6923,96
наоборот,6919,96
семь,6919,96
вылезать,6918,96
чудо,6913,96
ясный,6913,96
переводить,6909,96
кинуться,6907,96
событие,6906,96
волк,6905,96
поводить,6887,96
бабка,6872,95
прыгать,6870,95
похоже,6862,95
строго,6858,95
скорость,6850,95
успокаивать,6850,95
когда-то,6840,95
генерал,6836,95
впервые,6833,95
ловить,6829,95
дача,6824,95
точка,6824,95
рад,6824,95
диван,6817,95
пыль,6813,95
тревога,6804,95
герой,6803,94
борт,6803,94
сорок,6772,94
внутри,6771,94
бывший,6759,94
болеть,6749,94
галя,6747,94
приятель,6741,94
вырываться,6740,94
фигура,6734,94
больница,6734,94
стрелять,6727,93
глеб,6715,93
желать,6711,93
нож,6707,93
послушать,6706,93
приседать,6697,93
возмущаться,6687,93
ставить,6685,93
интерес,6681,93
занятие,6681,93
выполнять,6680,93
шапка,6680,93
довольный,6677,93
трое,6675,93
лиза,6671,93
веревка,6663,93
честный,6654,92
убирать,6647,92
никуда,6642,92
шар,6641,92
бутылка,6640,92
ученик,6638,92
площадь,6638,92
офицер,6626,92
мгновение,6593,92
век,6586,91
положение,6581,91
глупый,6570,91
дальний,6567,91
внизу,6565,91
детство,6564,91
экран,6558,91
прочее,6557,91
верный,6550,91
выступать,6544,91
суметь,6541,91
зоя,6532,91
двинуться,6524,91
вынимать,6520,91
сперва,6504,90
привет,6500,90
подарок,6491,90
сзади,6484,90
открытый,6484,90
воля,6483,90
явно,6481,90
вход,6481,90
ведро,6478,90
соня,6474,90
отправлять,6463,90
скрывать,6453,90
обо,6453,90
серьезно,6451,90
четвертый,6447,90
скала,6447,90
живот,6446,90
раскрывать,6443,89
задавать,6436,89
краска,6428,89
видать,6426,89
прижимать,6419,89
поддерживать,6407,89
настроение,6401,89
платок,6382,89
продавать,6378,89
охотник,6377,89
эй,6377,89
возможно,6376,89
ездить,6366,88
малый,6366,88
незнакомый,6361,88
поселок,6349,88
фронт,6342,88
палка,6340,88
весна,6336,88
подтверждать,6328,88
слышно,6328,88
стих,6327,88
сердито,6322,88
зеркало,6321,88
